alg;inst;score
steepest;tho150;0,979844308
steepest;tho150;0,96943696
steepest;tho150;0,975404144
steepest;tho150;0,982669665
steepest;tho150;0,979427266
steepest;tho150;0,980775028
sa;bur26g;0,987122983
sa;bur26g;0,987268873
sa;bur26g;0,983941461
sa;bur26g;0,987179224
sa;bur26g;0,98581916
sa;bur26g;0,986426246
sa;bur26g;0,980701326
sa;bur26g;0,98411058
sa;bur26g;0,981941495
sa;bur26g;0,983795373
sa;kra30a;0,807086614
sa;kra30a;0,771766029
sa;kra30a;0,857367829
sa;kra30a;0,809111361
sa;kra30a;0,835320585
sa;kra30a;0,768166479
sa;kra30a;0,80663667
sa;kra30a;0,8784027
sa;kra30a;0,79336333
sa;kra30a;0,848031496
sa;lipa50b;0,774997439
sa;lipa50b;0,773463037
sa;lipa50b;0,771274222
sa;lipa50b;0,772683855
sa;lipa50b;0,769970353
sa;lipa50b;0,772854069
sa;lipa50b;0,772764831
sa;lipa50b;0,776217854
sa;lipa50b;0,776868962
sa;lipa50b;0,771093267
sa;tai64c;0,952070339
sa;tai64c;0,942097969
sa;tai64c;0,928601756
sa;tai64c;0,923310603
sa;tai64c;0,976728623
sa;tai64c;0,968910432
sa;tai64c;0,917256488
sa;tai64c;0,908875775
sa;tai64c;0,95599075
sa;tai64c;0,957009108
sa;tai80a;0,909139965
sa;tai80a;0,912471168
sa;tai80a;0,909359321
sa;tai80a;0,905089327
sa;tai80a;0,908544443
sa;tai80a;0,908301927
sa;tai80a;0,910059579
sa;tai80a;0,907089347
sa;tai80a;0,911406694
sa;tai80a;0,9035826
sa;wil100;0,946110065
sa;wil100;0,947435888
sa;wil100;0,944293468
sa;wil100;0,944718318
sa;wil100;0,945253042
sa;wil100;0,953911177
sa;wil100;0,945018642
sa;wil100;0,947963287
sa;wil100;0,95224108
sa;wil100;0,946578864
sa;sko100c;0,903085309
sa;sko100c;0,905465907
sa;sko100c;0,914068523
sa;sko100c;0,909320853
sa;sko100c;0,913770949
sa;sko100c;0,907765349
sa;sko100c;0,904627288
sa;sko100c;0,909564323
sa;sko100c;0,907251356
sa;sko100c;0,894712637
sa;tho150;0,891257916
sa;tho150;0,900332748
sa;tho150;0,899188097
sa;tho150;0,901567643
sa;tho150;0,902015668
sa;tho150;0,904316772
sa;tho150;0,906076904
sa;tho150;0,89599414
